SYMBOL,BM_1 ,BM_2 ,BM_3,UC_1 ,UC_2 ,UC_3 
A2M,23340.06937,14921.82897,40351.87782,22497.93735,62513.53928,69587.1907
AAAS,27333.81181,26589.20554,29885.49801,90836.64675,95978.10859,129676.1393
AAGAB,496.1094054,2037.428132,1305.457197,4401.887502,3116.648304,3207.5372
AAK1,2353.581027,16330.30242,11261.58938,59356.90403,44977.93507,40647.96181
AAMP,29272.99668,23918.80257,27083.27291,41505.38847,53696.60626,23156.27519
AARS1,185760.8517,195189.0567,385477.1084,610031.1508,521257.0213,618229.7567
AARSD1,11773.26559,4144.493781,18821.70517,124607.155,92645.9796,119338.5333
AASDHPPT,598.5675052,1756.086676,11620.55479,22444.82313,13357.02622,23483.69089
AASS,3642.149973,2733.622036,4033.604963,7162.036376,1829.20863,8265.844083
AATF,11663.70535,9711.960979,12361.96821,22159.4482,24291.03287,21090.37997
ABCA1,46194.75932,33184.9359,46954.61749,106075.6415,92858.0115,71593.14011
ABCC1,47718.28953,67416.02075,62221.68868,83474.11723,88064.66636,53931.3191
ABCC4,11039.83114,8154.694284,8559.452269,38084.08973,6086.165027,22586.0557
ABCD1,2612.896042,22462.39211,30914.08707,27211.90898,20511.88783,2296.383952
ABCD3,3698.619715,1626.797121,1609.643931,2448.34022,5712.845354,12921.37105
ABCE1,265583.2653,278916.8713,315904.9724,929033.7717,741679.2949,922751.9444
ABCF1,28271.80748,35688.04148,44005.30869,44317.64914,44315.86609,40148.72863
ABCF2,88666.21201,58603.04341,83032.63745,149370.642,137151.3905,157143.6308
ABCF3,53234.03946,49009.40291,64860.51226,127872.5799,107381.8661,142231.3795
ABHD10,6092.939812,12601.75453,6006.075272,9820.171653,3145.325758,3054.093028
ABHD14B,201049.7628,151228.7937,251598.671,279588.0947,132763.0486,182666.2229
ABHD16A,41073.63972,47598.08418,42588.33174,86914.569,56173.6806,57712.99499
ABI3BP,2035.57833,48991.51042,1758.794189,110142.6663,4967.440554,36100.80822
ABR,149639.4403,82202.1218,93171.43604,229590.772,159950.9531,274821.3961
ABRACL,97561.95407,109214.6443,116284.3375,275213.8268,275775.5087,274642.7052
ABRAXAS2,43487.40109,31823.31237,35126.30274,55342.53045,46266.76117,50717.81705
ACAA1,98117.23143,134554.7489,216872.8344,201792.1879,107450.9381,133107.0344
ACAA2,417699.5368,365048.5587,491134.7424,384083.1544,251904.8019,393828.7981
ACACA,13935.82049,30810.55706,10585.20428,71392.69502,72896.39025,90155.03338
ACAD8,19783.79927,7018.85805,14242.49497,10250.94668,53821.0089,14341.55887
ACAD9,17704.409,8315.347223,2225.355438,10649.5877,14982.69273,21614.61486
ACADM,45687.1736,15381.79415,27980.75925,113101.8407,41673.85641,82868.65046
ACADVL,540872.3641,371267.457,434101.1835,600085.1189,517936.9021,598380.9725
ACAT1,214294.583,204240.6643,334154.9601,336860.4194,298762.6871,293983.4846
ACAT2,53777.0552,24927.74839,30388.30816,211151.6948,170793.085,174037.9542
ACBD3,161345.7497,171685.2179,261950.0136,523365.4749,367779.7403,371848.9346
ACBD5,21479.94646,20766.16095,14782.43121,13267.77901,2882.430908,9950.343093
ACBD6,14009.30634,13022.56291,15070.53371,13499.57927,12465.12484,16109.89856
ACIN1,16329.51484,12974.82522,7231.259493,34685.64582,37655.50926,47373.98011
ACLY,577295.0066,526750.8776,605882.2426,2142746.714,1664019.933,2182000.9
ACO1,97155.70286,75281.91312,53430.44336,511828.3611,368689.8572,328016.097
ACO2,118616.0943,107428.3989,144433.8577,250892.1583,211493.2978,237123.3039
ACOT2,32438.63828,28333.46677,50515.33391,76462.10467,51244.59378,63061.23547
ACOT7,301814.6399,423934.1193,549116.6292,710844.2107,585996.234,600132.7284
ACOT9,50838.97437,48738.48639,91815.11011,125410.6722,103072.7361,121614.285
ACOX1,47447.87861,28466.11069,27644.6217,60668.94244,21279.88376,34253.91733
ACOX3,25223.92427,17843.5957,20385.60044,6572.538448,5592.887663,398.9951585
ACP1,53305.22346,63465.30572,50744.04552,96716.11095,85177.90517,88240.12722
ACP2,36893.18449,42165.84756,43040.63284,30130.19075,3559.126369,28762.20511
ACSF2,10829.53032,8690.013018,3393.759583,15739.3649,5795.470318,12999.6512
