SYMBOL,BME01 ,BME02,BMe6,UMe7 ,UMe8,UMe9 
A2M,5691903.594,3678777.681,3318260.973,1347891.229,1921806.172,872820.2888
AARS1,36625.49204,32775.03777,75926.92971,290586.1451,250037.9894,219344.3515
AARSD1,7139.386105,21636.9647,3660.880069,12070.82533,10311.5059,9674.420155
ABCA1,59229.73717,85706.95193,44502.69939,244661.4013,409172.9909,383041.4801
ABCC1,67799.69752,159218.1157,189181.217,369422.0532,360160.9363,259126.1032
ABCC3,24768.44846,5443.531581,101891.6667,67920.79675,95230.31495,54023.9257
ABCC4,3784.060508,3555.373731,23979.81409,96337.85639,151515.5463,108774.5523
ABCE1,37687.67738,46827.3866,65960.65533,362294.1389,251908.3274,287633.9933
ABCF1,2662.80572,1377.026955,2877.582217,10411.24835,2603.663918,1324.861847
ABCF2,6398.447375,3213.638453,13235.08808,63100.1985,51410.31017,39000.36182
ABCF3,48891.69049,5998.769061,15110.46828,34334.07479,49142.94848,31518.96934
ABHD14B,3189.009133,6154.163524,5968.507675,4911.966672,11656.06542,1271.869392
ABI1,28643.30957,23626.44552,58771.30513,241365.619,224857.1658,235337.164
ABI3BP,72284.88574,20121.37789,159904.1435,57509.64417,24683.50365,29588.78826
ABRACL,6699.478163,1368.774283,6425.458874,33580.80798,39026.1239,16047.59187
ACACA,1610.040656,2559.147193,2129.569477,1995.449375,4214.246997,2407.630118
ACADVL,19161.13339,15603.08009,4130.988084,33492.63213,57767.67163,25972.15864
ACAN,27775.03068,49294.6527,26498.62625,13701.44088,19877.09028,8295.172949
ACAP2,6955.835314,2661.629814,1738.091551,49305.53886,47542.07564,44578.90874
ACAT1,6466.953667,21249.89922,5596.835025,46901.99547,33421.94766,11370.42003
ACAT2,16574.14213,7682.302042,89175.93954,64376.81823,59376.67084,47112.67978
ACLY,85237.73239,73815.90878,199858.7811,530763.9347,698791.1363,393172.3481
ACO1,120567.3614,94916.99651,102403.402,448517.2869,315328.6558,246761.1092
ACOT7,3496.885311,4895.454741,2066.648639,40059.48041,1881.887203,39439.5619
ACSL3,5441.845921,7914.836538,16635.30476,99010.66606,69358.12404,68104.10794
ACSL4,86464.79013,67329.79725,139335.1867,813846.2217,615207.486,460870.0571
ACTA2,2369227.459,1672390.123,1361379.214,15833516.03,13093470.56,10996378.94
ACTN1,165040.4369,159704.4114,128693.2684,395042.2573,321501.7114,171242.322
ACTN4,175049.8865,154227.0292,110072.5922,525482.2188,464668.4367,277892.6446
ACTR1A,42946.8039,41128.36632,46551.4679,178027.8766,139268.0305,97264.99242
ACTR2,167512.0711,145761.6687,208469.6651,820129.4324,1074919.282,651347.2766
ACTR3,59616.33328,65828.39409,112509.0076,382016.9695,374934.1554,336046.2086
ACVR1,9431.329891,16417.1195,44260.03571,200317.6815,241718.3632,174695.4664
ADA,4704.600165,5063.195853,12169.48135,30890.24094,17292.91321,16981.13418
ADAM10,247442.6335,174160.2417,190169.8627,925588.3149,626933.5498,1093819.436
ADAM17,24954.99903,44863.74673,45770.38399,177910.8609,134917.0389,195985.451
ADAM19,10683.81044,6053.668111,5755.192332,59754.34146,53706.56307,32545.98602
ADAM9,49738.33873,35431.0776,76739.4752,441614.3906,537030.2795,121430.7939
ADAMTS13,30250.51971,2981.443713,30812.75941,25943.1071,35673.28719,11356.47862
ADCY3,937.5358482,4441.204937,4934.163056,50669.7786,36155.61483,33577.09481
ADCY9,1785.771645,4869.181431,553.8559869,39724.07229,33507.63607,42165.02247
ADD1,22925.63291,23594.3522,71650.59212,208961.6042,111983.2158,186073.1022
ADD3,44683.90706,61685.98118,62347.2089,267856.618,200766.6749,220766.8092
ADGRA2,9487.046469,4448.025107,35461.04719,51169.59098,27427.70367,66694.31861
ADGRE3,1329.306998,46467.71148,17071.94253,28410.35397,2870.887644,4241.293332
ADGRE5,14234.92368,15169.17511,34699.78025,466923.5402,149445.2768,338858.038
ADGRL2,70461.36544,30433.24826,146027.1557,140874.0853,158307.5561,119365.2666
ADH5,50132.69467,37023.61013,59200.41306,176389.0117,43405.1678,72925.50247
ADK,5024.473766,15320.31674,8853.198725,8238.907391,19318.84844,13848.4293
ADRM1,802.7301116,1048.506367,4280.729685,17037.74252,13378.79069,10971.52314
ADSS2,6064.543122,24106.87719,13660.76429,72541.81765,79092.20367,58591.49835
AEBP1,10912.12805,4872.49236,23143.12852,54542.84656,7483.21323,30529.41282
AFDN,1951.550171,42232.31053,6204.276507,21071.78505,16060.25069,21687.69249
AFM,13018.85031,9653.317217,8026.079413,11843.94682,29355.91124,787.2164592
AFP,576292.0468,462232.343,21029.59087,1239.543589,2619.300545,3109.39167
AGRN,58435.07409,624511.1682,706983.994,3068081.805,1021783.883,844697.4823
AHCY,575663.1401,391122.2913,799285.4891,1289316.716,1075463.341,769162.2997
AHCYL1,43733.28492,34520.32878,79176.50869,292542.0808,331839.9321,376294.0121
AHNAK,213961.6079,245321.6322,298554.1804,850931.7882,414232.2624,405536.3994
AHSG,6871.970532,14068.48387,2939.059815,1211.565303,7620.004198,2070.738846
AIDA,24786.58756,39947.8163,75940.89626,198809.421,193097.0809,176199.3297
AIFM2,554.303746,25727.78082,10823.77879,24157.8604,21797.17226,10854.5355
AK1,2140.332729,6127.591167,7000.606901,25693.41846,1647.137839,18948.81263
AK2,17093.57893,12241.44642,3566.01901,34925.53073,2572.44565,20139.24498
AKAP12,29385.25865,23149.3163,71255.59302,183019.9423,221167.1728,177598.2606
AKR1A1,11588.41102,8545.59138,13390.71652,51197.14817,43746.15606,45848.90142
AKR1B1,14817.47083,11289.13427,16049.58009,55090.03335,5851.506373,34685.85043
AKR1C1,4182.154212,1688.895603,570.5204892,1021.338359,10620.0364,3221.35598
AKT1S1,1641.239215,3491.418377,13084.39914,48104.04198,3944.384585,1723.703835
ALAD,33635.89704,34356.51797,47031.26392,56026.96973,61477.61567,35714.8445
ALB,6047759.295,5249345.491,5757756.788,1947172.615,4446733.637,1880588.527
ALCAM,299016.6157,299774.8124,804672.8291,4174864.926,1293717.882,1954158.928
ALDH18A1,4587.991255,3671.197125,4011.054041,27637.23802,35637.1484,16636.8782
ALDH1A3,52611.65964,31311.38761,22567.17262,112610.0098,625985.2278,173674.2642
ALDH1L1,91620.22183,53228.92824,84222.20107,40525.52888,111571.6506,94177.62381
ALDH7A1,52025.93159,17082.31702,44096.28405,80743.32909,103194.7415,77662.27487
ALDH8A1,40958.09787,27047.80256,34254.19436,54796.61853,44558.47066,31221.4624
ALDH9A1,232878.9492,227105.1331,231245.5814,214164.3579,231072.5904,165265.149
ALDOA,439567.1511,476396.7694,865624.3653,3897214.442,3695313.216,3029257.082
ALDOC,12046.41005,15161.35209,4185.316016,983.1319714,12702.81303,1660.104958
ALPL,554.0091831,942.8477685,24081.84039,2285.543954,1960.062063,1706.861256
AMIGO2,6754.956116,17501.93516,2505.816027,123050.9125,145005.8811,112337.5919
AMPD2,17320.01132,22766.37625,19175.88187,75026.4405,72546.85196,59811.7886
AMY2A,60343.52293,43127.42832,47165.16834,27427.41996,60507.13987,26370.74964
ANAPC2,87478.60037,61618.00187,80980.64691,158525.4426,141846.7856,88265.31381
ANKFY1,8327.824447,29700.85898,7942.173539,34770.4751,3444.374121,19780.82987
ANKH,383.9499238,2955.205852,2902.092314,9911.961924,14282.67644,8444.215985
ANKRD13A,4082.89233,3825.7206,7275.211417,36628.37318,26916.18674,28252.84149
ANKRD50,35608.9306,32456.08292,98380.04137,121158.7232,94483.6685,112408.2883
ANO6,17754.18414,22154.04995,31375.18349,129338.9804,82256.94204,110969.3039
ANPEP,1271813.165,480383.1451,11621215.58,12473300.1,11438778.37,19994053.05
ANTXR1,3714.800208,4149.439458,4646.404422,3751.443384,47438.68217,42783.42142
ANTXR2,5274.527534,10115.13836,34585.53313,346400.1389,393777.9022,431548.7917
ANXA1,303438.2823,324418.6084,854203.4502,7309840.055,4633553.67,3164511.232
ANXA10,14360.26188,4872.422593,6445.914002,1053.472635,269352.7535,38257.33854
ANXA11,151536.0077,171802.3007,209509.3346,1062633.214,691793.9346,475627.8468
ANXA2,520180.4487,500360.9266,491048.5441,1661421.471,770372.4272,598058.0716
ANXA4,174495.1341,158782.8747,124818.3514,386118.9435,265084.367,224411.6912
ANXA5,716166.9974,757884.0267,1038449.287,3636102.642,2696328.628,2573237.119
ANXA6,1121450.534,1279189.026,1921836.732,15202248.61,8691408.194,7120541.294
ANXA7,172726.6693,163310.7422,272646.5732,718329.6251,435422.1936,329732.9163
AOC1,8763.375988,7965.999589,14841.42073,25640.28361,29840.89282,14704.32808
AP1B1,9869.70355,12927.62773,7957.88594,22239.54242,27813.39786,21521.92348
AP1G1,6577.272335,13520.55066,11185.37105,13903.24986,21771.34524,42422.01895
AP1M1,9621.931154,3231.790495,15622.44197,21394.4857,27077.06701,12079.52678
AP1S1,9839.988232,10712.48789,6978.403458,39430.85298,38633.81737,19813.32277
AP1S2,20871.16623,20889.35011,1000.581115,21941.8934,22074.68428,29080.00819
AP2A1,117239.5649,74445.02109,122046.4451,465515.6668,558964.7509,435164.9955
AP2A2,33322.18017,24758.62121,28451.44441,53662.6891,102362.8394,80126.15695
AP2B1,138289.6654,85351.7081,91417.86117,336211.6026,425085.8725,291739.18
AP2M1,36758.77602,38780.88288,62849.27449,292689.4868,265094.301,205097.4961
AP3B1,50951.31725,49047.74055,12736.4545,42072.80329,35448.61354,40733.25904
AP3D1,20051.45807,11353.21261,28483.31957,78929.4455,80534.33406,50146.11728
AP3M1,18622.33468,4712.84768,11718.01933,42755.76703,15456.43147,21155.81966
AP3S1,5216.999476,4686.692617,7863.897605,29960.91047,24034.18084,5285.372455
AP4S1,369.3546191,3567.655961,2019.147717,10096.66413,6760.445726,5108.066102
APBB2,13075.9714,1416.684546,2244.343846,13434.69435,8229.189436,5851.513739
APEH,7133.620671,5785.881283,25225.48717,73658.98494,72884.42566,65207.63181
APMAP,73167.25647,41220.18812,70863.15039,214446.1709,305688.2742,219905.7926
APOA1,660830.0105,510246.4737,228432.1393,159825.1497,193361.4559,146115.0588
APOB,1930638.151,1964835.468,2071815.813,1293326.315,1855017.789,1012399.283
APOE,2058129.211,2141836.867,1839310.883,1405756.39,3149145.672,1772552.284
APOH,262582.4564,238898.3,173028.9449,441972.3075,625566.2994,272148.4469
APPL2,32093.9216,2775.503399,276052.0853,164238.1086,12629.56037,10037.12716
APRT,48192.13016,56778.37001,67160.69763,270010.8296,275928.6878,237268.1025
ARAF,5022.722093,1030.041555,4626.949574,9436.684854,9169.765177,8153.578745
ARAP1,4828.543016,656.5163354,5634.087475,14583.90719,12221.96723,4634.598879
ARCN1,24840.39277,23581.88401,45468.03509,122768.1002,93976.13495,89641.46346
ARF1,167398.7789,169529.3859,144430.5538,358074.6594,362572.0225,372699.8965
ARF4,372071.6611,290270.8354,764215.3774,4449085.297,3100660.631,3125889.474
ARF5,12766.54098,23409.08082,23542.13956,43717.27443,40344.81305,23927.59353
ARF6,24570.87197,26568.73286,34586.63334,161210.441,85084.96126,137877.4081
ARHGAP1,25482.26915,14063.63668,42272.1182,27833.92298,33928.21636,13784.70247
ARHGAP17,10444.71126,2122.278246,1385.15209,55910.12588,47245.27365,44250.42081
